,Area,Area Id,Variable Name,Variable Id,Year,Value
245,China,351.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2007.0,20.12
246,China,351.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2012.0,21.12
247,China,351.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2015.0,20.92
256,Colombia,44.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1996.0,0.42
257,Colombia,44.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2000.0,0.3282
258,Colombia,44.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2008.0,0.4987
261,Comoros,45.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1999.0,0.8333
263,Congo,46.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1987.0,0.0048
264,Congo,46.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2002.0,0.0055
267,Costa Rica,48.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2012.0,2.07
268,Costa Rica,48.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2015.0,2.824
271,Côte d'Ivoire,107.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1987.0,0.8426
272,Côte d'Ivoire,107.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1990.0,1.307
273,Côte d'Ivoire,107.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1994.0,1.464
274,Côte d'Ivoire,107.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2000.0,1.675
275,Côte d'Ivoire,107.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2005.0,1.841
276,Côte d'Ivoire,107.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2014.0,1.381
283,Croatia,98.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2002.0,0.5436
284,Croatia,98.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2012.0,0.6265
285,Croatia,98.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2017.0,0.6378
289,Cuba,49.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1995.0,13.67
290,Cuba,49.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2007.0,12.95
291,Cuba,49.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,2013.0,18.26
295,Cyprus,50.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1975.0,19.87
296,Cyprus,50.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1980.0,22.69
297,Cyprus,50.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1985.0,25.64
298,Cyprus,50.0,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275.0,1990.0,28.59
